Designator,Mid X,Mid Y,Rotation,Layer
C20,193.07,-57.68,-90.0,top
C19,190.66,-57.68,-90.0,top
RV1,151.892,-91.04,90.0,top
J4,141.55,-55.0025,180.0,top
S1,137.6455,-78.33075,-90.0,top
U7,181.743,-91.3055,0.0,top
L2,183.515,-62.82,180.0,top
C31,188.148,-94.977,0.0,top
L4,146.304,-62.926501,180.0,top
R8,160.909,-68.817001,90.0,top
C13,189.340001,-68.342,90.0,top
C25,155.829,-71.865001,90.0,top
C10,140.589,-66.978001,90.0,top
U3,184.015,-69.932,0.0,top
_4,192.913,-108.367102,0.0,top
R12,176.536,-94.123,-90.0,top
C24,160.286,-62.848001,180.0,top
J1,184.279,-54.8735,180.0,top
_3,126.1745,-50.927,0.0,top
C14,191.880001,-68.342,90.0,top
R6,177.656001,-70.681001,180.0,top
J5,148.594,-104.6175,0.0,top
C7,158.938,-84.328,0.0,top
R11,173.924,-94.123,-90.0,top
_2,126.1745,-108.367102,0.0,top
C22,191.880001,-72.205001,-90.0,top
C15,171.577,-69.960001,-90.0,top
U6,146.812,-69.833001,0.0,top
C5,177.656001,-68.141001,180.0,top
D2,189.937001,-62.680001,0.0,top
R7,160.909,-72.754001,-90.0,top
C30,188.148,-92.437,180.0,top
C27,187.386,-89.389,90.0,top
C9,173.101,-65.261001,0.0,top
C23,160.286,-60.435001,180.0,top
C21,189.340001,-72.205001,90.0,top
C6,147.574,-91.99,90.0,top
C16,174.117,-69.960001,-90.0,top
D6,188.402,-83.801,0.0,top
D4,173.101,-62.848001,0.0,top
C8,144.78,-91.99,-90.0,top
U5,166.37,-69.960001,0.0,top
C17,155.829,-67.801001,90.0,top
J6,167.789,-104.248,0.0,top
L6,181.235,-83.801,180.0,top
C29,175.194,-88.3845,90.0,top
J2,135.159,-94.488,0.0,top
U4,163.745,-91.821,0.0,top
C26,153.289,-71.865001,-90.0,top
C28,189.926,-89.389,90.0,top
J3,162.837821,-54.91,180.0,top
D3,163.068,-84.328,0.0,top
C18,153.289,-67.801001,90.0,top
R10,141.605,-72.650501,-90.0,top
,192.913,-50.927,0.0,top
L5,166.497,-62.848001,180.0,top
R9,145.0245,-74.352,0.0,top
L3,150.368,-83.82,180.0,top
R5,182.206999,-74.295,0.0,top
D5,153.289,-63.864001,-90.0,top
